stateid,monthid,dose1,dose2
RJ,17,6144210,3833614
SK,1,0,0
SK,2,0,0
SK,3,0,0
SK,4,0,0
SK,5,0,0
SK,6,0,0
SK,7,0,0
SK,8,0,0
SK,9,0,0
SK,10,0,0
SK,11,0,0
SK,12,31074,7585
SK,13,85416,9660
SK,14,41587,42338
SK,15,60281,253
SK,16,224637,65751
SK,17,49792,32455
TG,1,0,0
TG,2,0,0
TG,3,0,0
TG,4,0,0
TG,5,0,0
TG,6,0,0
TG,7,0,0
TG,8,0,0
TG,9,0,0
TG,10,0,0
TG,11,0,0
TG,12,254667,205766
TG,13,1664622,115018
TG,14,2322291,740403
TG,15,2365848,285999
TG,16,3889567,784202
TG,17,1366493,2018389
TN,1,0,0
TN,2,0,0
TN,3,0,0
TN,4,0,0
TN,5,0,0
TN,6,0,0
TN,7,0,0
TN,8,0,0
TN,9,0,0
TN,10,0,0
TN,11,0,0
TN,12,888615,120563
TN,13,2399406,338593
TN,14,1423396,1365511
TN,15,3723216,290994
TN,16,6267887,1016364
TN,17,6326064,1625945
TR,1,0,0
TR,2,0,0
TR,3,0,0
TR,4,0,0
TR,5,0,0
TR,6,0,0
TR,7,0,0
TR,8,0,0
TR,9,0,0
TR,10,0,0
TR,11,0,0
TR,12,71420,47242
TR,13,614049,50626
TR,14,233325,407488
TR,15,184097,11308
TR,16,944962,156028
TR,17,324319,153760
UP,1,0,0
UP,2,0,0
UP,3,0,0
UP,4,0,0
UP,5,0,0
UP,6,0,0
UP,7,0,0
UP,8,0,0
UP,9,0,0
UP,10,0,0
UP,11,0,0
UP,12,1182124,621447
UP,13,6559212,800355
UP,14,2985106,1758456
UP,15,8012266,656357
UP,16,13062798,2334818
UP,17,15582272,3008708
UT,1,0,0
UT,2,0,0
UT,3,0,0
UT,4,0,0
UT,5,0,0
UT,6,0,0
UT,7,0,0
UT,8,0,0
UT,9,0,0
UT,10,0,0
UT,11,0,0
UT,12,146971,85924
UT,13,970154,117498
UT,14,708635,472322
UT,15,733711,29633
UT,16,1297162,350423
UT,17,1527648,666244
WB,1,0,0
WB,2,0,0
WB,3,0,0
WB,4,0,0
WB,5,0,0
WB,6,0,0
WB,7,0,0
WB,8,0,0
WB,9,0,0
WB,10,0,0
WB,11,0,0
WB,12,1634082,380735
WB,13,5676090,715275
WB,14,1661422,2816788
WB,15,5490405,415058
WB,16,4859954,2985988
WB,17,7323877,2645012
