districtid,vaccinationratio,populationratio,ratioofratios
HP_Lahaul and Spiti,0.7387523814176151,0.9028213166144201,0.8182708669174278
AS_Karimganj,0.7887381084890694,0.9631836948602253,0.818886483126699
HR_Faridabad,0.715422345816559,0.8732163004212771,0.8192956836369276
UP_Lakhimpur Kheri,0.7327970454200055,0.8939655338884422,0.8197150982237432
OR_Jajpur,0.7981423810871954,0.9731370554428888,0.8201746882652097
AR_Changlang,0.7621034581308945,0.9263138743047252,0.8227270251165307
NL_Zunheboto,0.8038877244893766,0.9764522515691478,0.8232739728927226
MP_Sidhi,0.7894942092627423,0.9569534928947478,0.8250079184878174
UP_Basti,0.7957316716605733,0.9632908246180908,0.8260554874235946
NL_Kohima,0.7670383959783896,0.9284429284861045,0.8261556768266877
OR_Jharsuguda,0.7882419270398858,0.9532340153021672,0.8269133438235727
UP_Moradabad,0.7503448363134784,0.9063729183528512,0.8278544306874016
JH_Garhwa,0.7755688803030684,0.9350970998061661,0.8293993003120576
GJ_Surat,0.653128275203646,0.7874549118458984,0.8294167264416791
ML_East Garo Hills,0.8072700569120617,0.9719084745972969,0.8306029610931709
UP_Kaushambi,0.7558391729236688,0.9077216646690162,0.8326772427528999
UP_Gorakhpur,0.790924398369908,0.9496618852503999,0.8328484175832358
UP_Sultanpur,0.8190917932221141,0.9832574770733725,0.833038967229732
KL_Malappuram,0.9150888933975126,1.0980774645875588,0.833355498959468
MH_Aurangabad2,0.7702133604774165,0.9232744201127687,0.834219321686983
JK_Baramulla,0.7388574974899517,0.8851258478530407,0.8347485267570964
GJ_Valsad,0.7702244549906149,0.9224929048197633,0.8349380802458327
WB_Paschim Medinipur,0.8069692838893469,0.9659850692430063,0.8353848414258906
ML_Ribhoi,0.7962969847938431,0.9530524933789076,0.835522691904083
UP_Ambedkar Nagar,0.8180271471741465,0.9777863923920126,0.8366113023652965
AS_Chirang,0.8108052264945492,0.9691333823409295,0.8366291382266282
UP_Lucknow,0.767324894488381,0.9168444369457034,0.8369193982837275
UP_Bhadohi,0.8004448438009969,0.9554143915430449,0.8377986043398782
UP_Rampur,0.7611882234635231,0.90852193295307,0.8378314225055066
GJ_Ahmedabad,0.7587761574322833,0.9044688152297844,0.8389190922403585
MP_Tikamgarh,0.756950566729011,0.9006464085854634,0.8404525455421088
UP_Pratapgarh1,0.8395682281059064,0.9981140475130519,0.841154605726484
AS_Kamrup Metropolitan,0.7880073340785357,0.9363295937984975,0.8415918275975357
OR_Boudh,0.8340017219503353,0.9905786802030457,0.8419338499990573
UP_Shahjahanpur,0.7338904197744719,0.8715963553354917,0.8420072150163884
UP_Ghazipur,0.8014516092620045,0.9515480506178996,0.8422607862436079
HR_Rewari,0.7565609443684318,0.8980931198414622,0.8424081285713282
JH_Sahibganj,0.8040597638553085,0.9521285530318583,0.8444865572983238
GJ_Gandhinagar,0.7795641797589833,0.9226719383751644,0.84489854664032
TN_Chennai,0.8359685549396373,0.9893160673401135,0.8449964400024675
PB_Sangrur,0.7480962043721731,0.8850960503582456,0.845214713216016
JH_Deoghar,0.7825001350715107,0.9252008330086113,0.8457624627584264
JH_Ramgarh,0.7793612708393662,0.9210549744046295,0.8461615131530513
JK_Ganderbal,0.7403571085725257,0.8740297379032258,0.8470616919152234
UP_Balrampur1,0.7874188668195793,0.9275361278741496,0.8489360609858835
TG_Ranga Reddy,0.815976207079066,0.9610238103700545,0.8490697090687732
JH_Jamtara,0.8101339871924922,0.95401032532174,0.8491878606442488
JK_Kupwara,0.7095089412432586,0.8354541428541302,0.8492494140006178
MP_Chhatarpur,0.7507003931698608,0.882635898564395,0.850521029555758
OR_Jagatsinghpur,0.8237914141268474,0.9675374006039473,0.8514310801966186
DL_New Delhi,0.7397172033543211,0.8679572767250237,0.8522507077138889
UP_Kannauj,0.7496442174016765,0.878726570013246,0.8531029366625119
UT_Haridwar,0.7513425355648666,0.8804649381524826,0.8533474792777563
