stateid,weekid,dose1,dose2
DL,39,0,0
DL,40,0,0
DL,41,0,0
DL,42,0,0
DL,43,0,0
DL,44,892,0
DL,45,11420,0
DL,46,32446,0
DL,47,52734,0
DL,48,80682,1967
DL,49,112963,16306
DL,50,76562,20459
DL,51,59191,29532
DL,52,71391,52494
DL,53,80893,70747
DL,54,99515,51811
DL,55,532730,38432
DL,56,493931,75593
DL,57,415749,94245
DL,58,274836,114710
DL,59,216007,145011
DL,60,432516,150147
DL,61,420102,185393
DL,62,472965,104987
DL,63,211070,52037
DL,64,222480,81145
DL,65,267860,155638
DL,66,304796,137733
DL,67,685715,121819
DL,68,837050,206630
DL,69,347699,169735
DL,70,320221,135129
DL,71,155109,172376
DL,72,93217,280822
DL,73,361519,270569
DL,74,506741,329534
DN,1,0,0
DN,2,0,0
DN,3,0,0
DN,4,0,0
DN,5,0,0
DN,6,0,0
DN,7,0,0
DN,8,0,0
DN,9,0,0
DN,10,0,0
DN,11,0,0
DN,12,0,0
DN,13,0,0
DN,14,0,0
DN,15,0,0
DN,16,0,0
DN,17,0,0
DN,18,0,0
DN,19,0,0
DN,20,0,0
DN,21,0,0
DN,22,0,0
DN,23,0,0
DN,24,0,0
DN,25,0,0
DN,26,0,0
DN,27,0,0
DN,28,0,0
DN,29,0,0
DN,30,0,0
DN,31,0,0
DN,32,0,0
DN,33,0,0
DN,34,0,0
DN,35,0,0
DN,36,0,0
DN,37,0,0
DN,38,0,0
DN,39,0,0
DN,40,0,0
DN,41,0,0
DN,42,0,0
DN,43,0,0
DN,44,23,0
DN,45,257,0
DN,46,572,0
DN,47,1403,0
DN,48,1805,71
DN,49,2316,394
DN,50,928,209
DN,51,3942,1210
DN,52,3086,1358
DN,53,4011,1348
DN,54,3713,680
DN,55,12368,1248
DN,56,24706,2260
DN,57,12834,2401
DN,58,4752,2206
DN,59,3037,3182
DN,60,2813,4205
DN,61,9081,5099
DN,62,28723,38
DN,63,40317,49
DN,64,36291,104
DN,65,43328,283
DN,66,41145,579
DN,67,60008,4986
DN,68,77257,15723
DN,69,47581,12135
DN,70,44556,6787
DN,71,19373,4797
DN,72,24891,3418
DN,73,25170,4142
DN,74,18093,11509
GA,1,0,0
GA,2,0,0
GA,3,0,0
GA,4,0,0
GA,5,0,0
GA,6,0,0
GA,7,0,0
GA,8,0,0
GA,9,0,0
GA,10,0,0
GA,11,0,0
GA,12,0,0
GA,13,0,0
GA,14,0,0
GA,15,0,0
GA,16,0,0
GA,17,0,0
GA,18,0,0
GA,19,0,0
GA,20,0,0
GA,21,0,0
GA,22,0,0
GA,23,0,0
GA,24,0,0
GA,25,0,0
GA,26,0,0
GA,27,0,0
GA,28,0,0
GA,29,0,0
GA,30,0,0
GA,31,0,0
GA,32,0,0
GA,33,0,0
GA,34,0,0
GA,35,0,0
GA,36,0,0
GA,37,0,0
GA,38,0,0
GA,39,0,0
GA,40,0,0
GA,41,0,0
GA,42,0,0
GA,43,0,0
GA,44,50,0
GA,45,921,0
GA,46,2493,0
GA,47,3996,0
GA,48,5817,309
GA,49,2845,964
GA,50,3748,1477
GA,51,17024,4156
GA,52,18901,4802
GA,53,20455,2625
GA,54,15441,2831
GA,55,19828,4451
GA,56,28866,9070
GA,57,51493,14593
GA,58,45666,16298
GA,59,44461,11688
GA,60,27329,9744
GA,61,32909,11207
GA,62,47020,453
GA,63,37256,293
GA,64,41010,1289
GA,65,56267,1598
GA,66,122640,3077
GA,67,101915,6866
GA,68,104524,20017
GA,69,64429,38377
GA,70,58469,42474
GA,71,37450,36859
GA,72,41482,26878
GA,73,32680,22663
GA,74,25430,34850
GJ,1,0,0
GJ,2,0,0
GJ,3,0,0
GJ,4,0,0
GJ,5,0,0
GJ,6,0,0
GJ,7,0,0
GJ,8,0,0
GJ,9,0,0
GJ,10,0,0
GJ,11,0,0
GJ,12,0,0
GJ,13,0,0
GJ,14,0,0
GJ,15,0,0
GJ,16,0,0
GJ,17,0,0
GJ,18,0,0
GJ,19,0,0
GJ,20,0,0
GJ,21,0,0
GJ,22,0,0
GJ,23,0,0
GJ,24,0,0
GJ,25,0,0
GJ,26,0,0
GJ,27,0,0
GJ,28,0,0
GJ,29,0,0
GJ,30,0,0
GJ,31,0,0
GJ,32,0,0
GJ,33,0,0
GJ,34,0,0
GJ,35,0,0
GJ,36,0,0
GJ,37,0,0
GJ,38,0,0
GJ,39,0,0
GJ,40,0,0
GJ,41,0,0
GJ,42,0,0
GJ,43,0,0
GJ,44,1605,0
GJ,45,51983,0
GJ,46,194310,0
GJ,47,245171,0
GJ,48,291320,2
GJ,49,57296,66465
GJ,50,13272,125119
GJ,51,620823,185103
GJ,52,605870,171542
GJ,53,929798,118000
GJ,54,1388109,23579
GJ,55,2484444,216393
GJ,56,1941424,290854
GJ,57,958976,394018
GJ,58,628339,582616
GJ,59,713444,766517
GJ,60,770309,720674
GJ,61,688081,689574
GJ,62,428121,57053
GJ,63,1717057,189086
GJ,64,1840225,191744
GJ,65,1819068,304854
GJ,66,1793511,253286
GJ,67,2231785,676560
GJ,68,1401469,698737
GJ,69,773334,440580
GJ,70,1268033,647873
GJ,71,1433586,701432
GJ,72,1433263,728640
GJ,73,2184334,957402
GJ,74,2799250,905639
HP,1,0,0
HP,2,0,0
HP,3,0,0
HP,4,0,0
HP,5,0,0
HP,6,0,0
HP,7,0,0
HP,8,0,0
HP,9,0,0
HP,10,0,0
HP,11,0,0
HP,12,0,0
HP,13,0,0
HP,14,0,0
HP,15,0,0
HP,16,0,0
HP,17,0,0
HP,18,0,0
HP,19,0,0
HP,20,0,0
HP,21,0,0
HP,22,0,0
HP,23,0,0
HP,24,0,0
HP,25,0,0
HP,26,0,0
HP,27,0,0
HP,28,0,0
HP,29,0,0
HP,30,0,0
HP,31,0,0
HP,32,0,0
HP,33,0,0
HP,34,0,0
HP,35,0,0
HP,36,0,0
HP,37,0,0
HP,38,0,0
HP,39,0,0
HP,40,0,0
HP,41,0,0
HP,42,0,0
HP,43,0,0
HP,44,202,0
HP,45,5194,0
HP,46,17391,0
HP,47,26548,0
HP,48,27408,449
HP,49,17826,11382
HP,50,6358,8662
HP,51,19965,24530
HP,52,45478,18159
HP,53,86720,16137
HP,54,96216,6943
HP,55,171215,4712
HP,56,316877,14461
HP,57,306340,28920
HP,58,211200,48268
HP,59,207334,78505
HP,60,136934,98532
HP,61,85344,73015
HP,62,116810,552
HP,63,94894,381
HP,64,92799,582
HP,65,62903,1784
HP,66,226885,4330
HP,67,631361,31560
HP,68,368035,135788
HP,69,44938,250204
HP,70,81829,181931
HP,71,235879,127003
HP,72,208385,106633
HP,73,240951,87535
HP,74,760570,152737
HR,1,0,0
HR,2,0,0
HR,3,0,0
HR,4,0,0
HR,5,0,0
HR,6,0,0
HR,7,0,0
HR,8,0,0
HR,9,0,0
HR,10,0,0
HR,11,0,0
HR,12,0,0
HR,13,0,0
HR,14,0,0
HR,15,0,0
HR,16,0,0
HR,17,0,0
HR,18,0,0
HR,19,0,0
HR,20,0,0
HR,21,0,0
HR,22,0,0
HR,23,0,0
HR,24,0,0
HR,25,0,0
HR,26,0,0
HR,27,0,0
HR,28,0,0
HR,29,0,0
HR,30,0,0
HR,31,0,0
HR,32,0,0
HR,33,0,0
HR,34,0,0
HR,35,0,0
HR,36,0,0
HR,37,0,0
HR,38,0,0
HR,39,0,0
HR,40,0,0
HR,41,0,0
HR,42,0,0
HR,43,0,0
HR,44,1864,0
HR,45,41486,0
HR,46,51793,0
HR,47,13821,0
HR,48,68718,590
HR,49,26450,18663
HR,50,13841,42413
HR,51,43546,12757
HR,52,106522,28108
HR,53,353390,25684
HR,54,368204,14043
HR,55,504758,17502
HR,56,494257,34852
HR,57,617594,121770
HR,58,325976,154159
HR,59,179947,94592
HR,60,361423,149404
HR,61,403805,201816
HR,62,434462,29461
HR,63,404594,42523
HR,64,389453,29997
HR,65,481040,44666
HR,66,493967,83130
