districtid,vaccinateddose1ratio,vaccinateddose2ratio
UP_Lakhimpur Kheri,0.1834766016378518,0.023797616806544644
NL_Peren,0.18375534294626072,0.05878028544723217
UP_Sonbhadra,0.18466260666105075,0.04044167191482256
UP_Kaushambi,0.18544682532339415,0.0337303919239608
CT_Bastar,0.19086271643271754,0.05013377450734115
MH_Solapur,0.1909755900981899,0.06979296653168915
AR_Lohit,0.19135912603104457,0.04604531792542168
WB_Nadia,0.19253792863224709,0.08249322702995587
UP_Prayagraj,0.19376036944836172,0.04677556445319093
UP_Unnao,0.19463757014535285,0.03562320665481264
UP_Etah,0.1955767323384879,0.030004846490239392
UP_Kushinagar,0.19584496642487792,0.038984229118787704
NL_Wokha,0.19618499125301336,0.07223027118664446
MH_Jalgaon,0.1966457025043281,0.0642551615078972
UP_Mau,0.19679523909685,0.04133650170809368
WB_Purulia,0.19814785426510564,0.07049791561082074
UP_Maharajganj,0.1984048142382975,0.03607475389270247
BR_Kishanganj,0.19903573118788453,0.029728466635115948
UP_Mainpuri,0.20028268225968127,0.030619273235791365
MH_Nanded,0.20119763471903065,0.06703315272817714
UP_Farrukhabad,0.20120528070171717,0.03499939529090751
BR_Araria,0.20170836995286262,0.03692742379788652
UP_Deoria,0.203180577797872,0.04343126258890029
UP_Shahjahanpur,0.2035663610438318,0.03487233489149314
BR_Katihar,0.20391308580934925,0.02929799751158325
UP_Hardoi,0.20457065928467852,0.02524356529504538
BR_Supaul,0.20516841956039183,0.03519530065372378
BR_Madhepura,0.2066014840925145,0.03513854294366663
MH_Hingoli,0.207812493364307,0.050072833366600275
BR_Gopalganj,0.20897286976017287,0.03299828416104218
CT_Dakshin Bastar Dantewada,0.20931792713412464,0.06599979761561209
UP_Ambedkar Nagar,0.20945348573411268,0.033536595537406254
BR_Sitamarhi,0.21111096181943198,0.03537940175968155
BR_Kaimur,0.21117645033399246,0.02812373953506675
BR_Madhubani,0.21130307914709232,0.04159822470979162
UP_Aligarh,0.2121392344733333,0.04227291570322348
UP_Chandauli,0.21284277195922072,0.031028966240533893
BR_Aurangabad1,0.21316513344301521,0.028094861840584896
UP_Jaunpur,0.21331986709993583,0.040835930011187745
AS_Nagaon,0.21508636686866625,0.04684237515263293
PB_Bathinda,0.21560504852271295,0.06223870654111377
CT_Bilaspur1,0.2163026457513415,0.07223903929563764
UP_Firozabad,0.21635478328815333,0.034874923743753394
BR_Gaya,0.21770621698959197,0.046096272320239155
WB_Birbhum,0.21797542487959698,0.07357460761237139
BR_Bhojpur,0.2184718042432819,0.03648685844890443
BR_Jamui,0.21876045569059394,0.03378313513083637
UP_Kanpur Dehat,0.2189591934901992,0.03271769484640772
UP_Auraiya,0.21900626655890168,0.03708106658354748
BR_Nawada,0.21960069323965165,0.03811511275058063
BR_Khagaria,0.22003004404620352,0.03405631818852639
UP_Fatehpur,0.22017728345411403,0.037680615542859834
ML_South Garo Hills,0.22065002037461182,0.06545168406705355
